Round,Status,Tenure,Geography,Province,Matric,Degree,Diploma,Schoolquintile,Math,Mathlit,Additional_lang,Home_lang,Science,Female,Sa_citizen,Birthyear,Birthmonth,Target,Year_survey,Age_survey
4,unemployed,276.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,4,1,2023,25
4,wage employed,1466.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1997,4,1,2023,26
4,wage employed,153.0,Urban,North West,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,70 - 79 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,studying,582.0,Suburb,North West,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2001,4,0,2023,22
4,unemployed,1430.0,Urban,Northern Cape,1.0,0.0,0.0,5.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,50 - 59 %,0,1,2000,9,1,2023,23
3,unemployed,127.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1992,8,0,2022,30
2,unemployed,70.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
4,wage employed,273.0,Rural,Limpopo,1.0,0.0,0.0,2.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,other,582.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,7,0,2023,25
2,unemployed,461.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2001,3,0,2022,21
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2001,5,0,2023,22
4,wage employed,92.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1989,2,0,2023,34
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,9,1,2022,24
4,unemployed,1132.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,studying,582.0,Suburb,KwaZulu-Natal,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1999,2,0,2023,24
4,wage employed,31.0,Urban,Mpumalanga,0.0,0.0,0.0,4.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1995,4,0,2023,28
2,unemployed,795.0,Suburb,Mpumalanga,1.0,0.0,0.0,2.0,40 - 49 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,1,1,2000,1,0,2022,22
2,unemployed,430.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2022,22
2,unemployed,808.0,Suburb,Mpumalanga,1.0,0.0,0.0,5.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,1,1,2000,1,0,2022,22
4,unemployed,460.0,Rural,Limpopo,1.0,0.0,0.0,3.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,1,1,2003,3,0,2023,20
3,unemployed,36.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1995,5,0,2022,27
2,self employed,5.0,Rural,North West,1.0,0.0,0.0,1.0,0 - 29 %,70 - 79 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2001,8,1,2022,21
4,studying,582.0,Rural,North West,1.0,0.0,0.0,1.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,9,0,2023,24
4,unemployed,1589.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1993,12,0,2023,30
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,1,2022,22
3,wage employed,582.0,Suburb,Limpopo,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,3,0,2022,24
2,studying,582.0,Rural,Limpopo,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,0,1,1998,3,1,2022,24
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,50 - 59 %,50 - 59 %,60 - 69 %,30 - 39 %,1,1,2003,10,0,2023,20
4,unemployed,1497.0,Rural,Limpopo,1.0,0.0,0.0,2.0,30 - 39 %,40 - 49 %,70 - 79 %,50 - 59 %,50 - 59 %,0,1,1997,5,0,2023,26
4,unemployed,95.0,Rural,KwaZulu-Natal,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2001,1,0,2023,22
3,wage employed,582.0,Urban,Limpopo,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1991,7,0,2022,31
4,unemployed,401.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,7,0,2023,21
4,wage employed,128.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1995,5,1,2023,28
4,unemployed,370.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,4,0,2023,29
3,unemployed,1678.0,Rural,KwaZulu-Natal,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1991,6,0,2022,31
4,self employed,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,4.0,0 - 29 %,30 - 39 %,50 - 59 %,40 - 49 %,30 - 39 %,1,1,1998,7,1,2023,25
3,unemployed,1344.0,Urban,Eastern Cape,1.0,0.0,1.0,0.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,8,0,2022,25
4,wage employed,31.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2002,11,0,2023,21
4,unemployed,365.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,3,1,2023,23
4,unemployed,615.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
4,other,582.0,Suburb,Limpopo,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1991,1,0,2023,32
2,unemployed,100.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1994,2,1,2022,28
4,unemployed,401.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
1,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,40 - 49 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,1,1,1996,11,0,2021,25
3,other,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,12,1,2022,23
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,12,1,2023,21
4,unemployed,243.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,50 - 59 %,60 - 69 %,30 - 39 %,0,1,2000,7,1,2023,23
2,unemployed,430.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,8,0,2022,25
2,unemployed,671.0,Suburb,North West,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
2,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1994,3,1,2022,28
2,wage employed,113.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,80 - 100 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
2,studying,582.0,Rural,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
4,studying,582.0,Urban,Gauteng,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1994,10,0,2023,29
1,wage employed,0.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,2,0,2021,24
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,50 - 59 %,50 - 59 %,40 - 49 %,30 - 39 %,0,1,2000,5,0,2023,23
3,other,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,50 - 59 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2001,11,1,2022,21
2,unemployed,365.0,Urban,North West,1.0,0.0,0.0,3.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,12,1,2022,24
1,wage employed,0.0,Rural,North West,1.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1991,9,0,2021,30
2,wage employed,44.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,5.0,0 - 29 %,30 - 39 %,50 - 59 %,40 - 49 %,30 - 39 %,1,1,2000,1,0,2022,22
4,wage employed,334.0,Rural,Limpopo,0.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1993,3,0,2023,30
2,unemployed,402.0,Urban,North West,1.0,0.0,0.0,2.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,9,0,2022,24
3,unemployed,158.0,Urban,Gauteng,1.0,0.0,0.0,2.0,60 - 69 %,40 - 49 %,50 - 59 %,50 - 59 %,60 - 69 %,0,1,2000,3,0,2022,22
2,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,7,0,2022,23
3,wage employed,582.0,Suburb,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,1,0,2022,24
2,self employed,2995.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,40 - 49 %,50 - 59 %,40 - 49 %,1,1,1987,3,1,2022,35
1,unemployed,0.0,Urban,Gauteng,0.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1991,10,0,2021,30
4,unemployed,1127.0,Suburb,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2023,23
4,unemployed,767.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
2,self employed,422.0,Urban,KwaZulu-Natal,1.0,1.0,0.0,5.0,60 - 69 %,40 - 49 %,50 - 59 %,60 - 69 %,40 - 49 %,0,1,1994,11,1,2022,28
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2003,11,0,2023,20
4,unemployed,365.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
3,studying,582.0,Urban,North West,1.0,0.0,0.0,0.0,30 - 39 %,40 - 49 %,50 - 59 %,70 - 79 %,70 - 79 %,0,1,1997,4,0,2022,25
4,studying,582.0,Suburb,Gauteng,1.0,0.0,0.0,0.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
3,studying,582.0,Suburb,Northern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,4,0,2022,22
4,unemployed,1065.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,0 - 29 %,0,1,2000,5,1,2023,23
4,unemployed,856.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,10,0,2023,23
4,unemployed,554.0,Rural,Mpumalanga,1.0,0.0,0.0,2.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,1995,8,0,2023,28
1,unemployed,1158.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,5,1,2021,23
4,unemployed,1096.0,Rural,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1996,11,0,2023,27
4,unemployed,856.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1992,12,0,2023,31
2,unemployed,798.0,Urban,North West,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,1,0,2022,23
3,other,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,1.0,40 - 49 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2004,4,1,2022,18
4,self employed,582.0,Urban,Free State,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
2,studying,582.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,6,1,2022,20
4,unemployed,189.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,50 - 59 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,1992,1,0,2023,31
4,wage employed,273.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,unemployed,64.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2000,12,0,2023,23
4,studying,582.0,Urban,Eastern Cape,1.0,0.0,0.0,3.0,40 - 49 %,40 - 49 %,60 - 69 %,50 - 59 %,40 - 49 %,0,1,2000,11,1,2023,23
4,unemployed,36.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2001,12,0,2023,22
4,studying,582.0,Urban,Free State,1.0,0.0,0.0,1.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,0 - 29 %,1,1,2000,1,0,2023,23
2,self employed,369.0,Suburb,Gauteng,0.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1997,4,1,2022,25
4,wage employed,487.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1999,1,0,2023,24
2,unemployed,1519.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1997,10,0,2022,25
4,unemployed,64.0,Urban,North West,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2002,2,0,2023,21
3,unemployed,1466.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1992,9,0,2022,30
4,unemployed,242.0,Urban,KwaZulu-Natal,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,3,1,2023,24
4,unemployed,5.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,1991,4,0,2023,32
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,1999,12,1,2023,24
4,self employed,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2001,11,1,2023,22
2,unemployed,826.0,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2022,22
4,studying,582.0,Urban,Mpumalanga,1.0,0.0,0.0,0.0,0 - 29 %,50 - 59 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2002,8,0,2023,21
2,unemployed,1444.0,Urban,Limpopo,1.0,0.0,0.0,3.0,60 - 69 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,1,1,1985,12,0,2022,37
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,5.0,40 - 49 %,40 - 49 %,50 - 59 %,60 - 69 %,50 - 59 %,1,1,2003,7,0,2023,20
4,unemployed,64.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,0 - 29 %,1,1,2002,11,0,2023,21
3,unemployed,948.0,Urban,Eastern Cape,1.0,0.0,0.0,0.0,0 - 29 %,60 - 69 %,50 - 59 %,60 - 69 %,30 - 39 %,0,1,2000,7,0,2022,22
4,unemployed,1073.0,Suburb,Gauteng,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1998,2,0,2023,25
4,studying,582.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1991,12,0,2023,32
3,unemployed,583.0,Suburb,Free State,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1997,4,0,2022,25
4,unemployed,365.0,Suburb,Free State,1.0,0.0,0.0,3.0,0 - 29 %,30 - 39 %,40 - 49 %,50 - 59 %,30 - 39 %,0,1,2000,11,0,2023,23
4,unemployed,2986.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1992,2,0,2023,31
4,studying,582.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,1.0,0 - 29 %,30 - 39 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,0,2023,23
4,studying,582.0,Rural,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1989,10,0,2023,34
2,unemployed,366.0,Urban,Eastern Cape,0.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1999,1,0,2022,23
3,unemployed,248.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,3,0,2022,24
2,unemployed,436.0,Suburb,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2022,22
3,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,70 - 79 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2003,6,0,2022,19
3,wage employed,582.0,Rural,Limpopo,1.0,1.0,0.0,2.0,50 - 59 %,40 - 49 %,50 - 59 %,50 - 59 %,40 - 49 %,0,1,1989,5,0,2022,33
4,wage employed,90.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2000,1,0,2023,23
4,wage employed,92.0,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,40 - 49 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2023,23
3,wage and self employed,1282.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,5.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,7,1,2022,23
3,self employed,431.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,1995,9,1,2022,27
4,unemployed,36.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2004,2,0,2023,19
4,wage employed,151.0,Urban,Free State,0.0,0.0,0.0,1.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1990,12,0,2023,33
4,studying,582.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,11,0,2023,24
3,other,582.0,Urban,Gauteng,1.0,0.0,0.0,2.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1999,12,1,2022,23
2,unemployed,640.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
4,wage employed,1132.0,Urban,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1995,6,1,2023,28
4,studying,582.0,Suburb,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2004,6,0,2023,19
3,wage employed,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,80 - 100 %,50 - 59 %,70 - 79 %,30 - 39 %,0,1,1991,12,0,2022,31
3,other,582.0,Urban,Northern Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,80 - 100 %,50 - 59 %,30 - 39 %,1,1,1999,10,1,2022,23
4,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,40 - 49 %,1,1,1996,10,0,2023,27
2,studying,582.0,Urban,Gauteng,1.0,0.0,0.0,4.0,0 - 29 %,60 - 69 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,12,1,2022,24
4,unemployed,429.0,Rural,Mpumalanga,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1991,2,0,2023,32
3,other,582.0,Urban,North West,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1994,11,1,2022,28
3,unemployed,309.0,Urban,Limpopo,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2002,8,0,2022,20
3,studying,582.0,Rural,Mpumalanga,1.0,0.0,0.0,4.0,0 - 29 %,70 - 79 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,1999,11,0,2022,23
4,unemployed,429.0,Suburb,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,2000,4,0,2023,23
4,wage employed,365.0,Urban,Gauteng,1.0,0.0,0.0,3.0,30 - 39 %,40 - 49 %,40 - 49 %,50 - 59 %,40 - 49 %,1,1,1998,10,0,2023,25
1,self employed,329.0,Urban,Western Cape,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1992,6,1,2021,29
2,self employed,67.0,Suburb,Free State,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1996,8,1,2022,26
2,unemployed,430.0,Rural,North West,1.0,0.0,0.0,3.0,0 - 29 %,0 - 29 %,60 - 69 %,50 - 59 %,30 - 39 %,0,1,2000,2,0,2022,22
4,wage employed,61.0,Urban,Gauteng,1.0,0.0,0.0,5.0,0 - 29 %,50 - 59 %,60 - 69 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2023,23
3,studying,582.0,Urban,Limpopo,1.0,0.0,1.0,3.0,0 - 29 %,50 - 59 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,1998,4,0,2022,24
1,unemployed,182.0,Urban,KwaZulu-Natal,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,1,1,1996,10,1,2021,25
2,studying,582.0,Urban,KwaZulu-Natal,1.0,1.0,0.0,3.0,0 - 29 %,50 - 59 %,70 - 79 %,50 - 59 %,30 - 39 %,1,1,2000,1,1,2022,22
4,other,582.0,Urban,Gauteng,1.0,0.0,0.0,3.0,0 - 29 %,40 - 49 %,50 - 59 %,50 - 59 %,30 - 39 %,0,1,2004,3,0,2023,19
4,wage employed,426.0,Urban,Gauteng,1.0,0.0,1.0,5.0,0 - 29 %,0 - 29 %,50 - 59 %,60 - 69 %,30 - 39 %,1,1,2000,1,0,2023,23
